"","Household Income","","","","","","","","","","","","","",""
"","Total","Less than $10,000","$10,000 to $19,999","$20,000 to $29,999","$30,000 to $39,999","$40,000 to $49,999","$50,000 to $59,999","$60,000 to $79,999","$80,000 to $99,999","$100,000 to $119,999","$120,000 to $139,999","$140,000 to $159,999","$160,000 to $179,999","$180,000 to $199,999","$200,000 or more"
"Characteristics","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate"
"  No breakdowns in last 3 months","106,970","7,727","7,172","7,504","7,787","7,632","7,291","13,020","10,422","7,955","6,641","5,451","3,712","2,788","11,869"
"  With breakdown(s) in last 3 months","1,261","168","109","106","95","83","119","172","90","S","84","S","S","S","88"
"    No breakdowns lasting 6 hours or more","194","S","S","S","S","S","S","S","S","S","S","S","S","S","S"
"    Number of breakdowns that lasted 6 hours or more:","","","","","","","","","","","","","","",""
"      1","651","77","47","58","S","49","S","98","53","S","42","S","S","S","51"
"      2 or more","416","72","45","S","40","S","S","S","S","S","S","S","S","S","S"
"","","","","","","","","","","","","","","",""
"With septic tank or cesspool","24,616","1,302","1,690","1,720","1,895","1,727","1,830","3,183","2,476","2,021","1,479","1,122","936","664","2,571"
"  No breakdowns in last 3 months","24,220","1,286","1,646","1,704","1,859","1,687","1,796","3,144","2,450","1,988","1,446","1,109","929","639","2,537"
"  With breakdown(s) in last 3 months","396","S","S","16","S","40","S","S","S","S","S","S","S","S","S"
"    No breakdowns lasting 6 hours or more","66","S","S","S","S",".",".","S","S","S",".","S",".","S","S"
"    Number of breakdowns that lasted 6 hours or more:","","","","","","","","","","","","","","",""
"      1","252","S","S","S","S","40","S","S","S","S","S","S",".","S","S"
"      2 or more","79","S","S","S","S",".","S","S","S","S","S",".","S",".","S"
"","","","","","","","","","","","","","","",""
